Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1963","1963","tonnes","20558","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1964","1964","tonnes","28323","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1965","1965","tonnes","29290","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1966","1966","tonnes","24347","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1967","1967","tonnes","21494","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1968","1968","tonnes","22958","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1969","1969","tonnes","23950","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1970","1970","tonnes","24976","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1971","1971","tonnes","24231","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1972","1972","tonnes","25818","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1973","1973","tonnes","23402","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1974","1974","tonnes","18606","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1975","1975","tonnes","19348","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1976","1976","tonnes","20298","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1977","1977","tonnes","22560","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1978","1978","tonnes","23708","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1979","1979","tonnes","24959","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1980","1980","tonnes","27813","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1981","1981","tonnes","30257","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1982","1982","tonnes","32795","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1983","1983","tonnes","35220","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1984","1984","tonnes","36006","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1985","1985","tonnes","40371","S","Standardized data"
